,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,N/A,N/A,a,N/A,N/A,N/A,N/A,N/A,56.34,35.13,6.56,8.06,18.70,22.65,9.12,24.20,21.29,41540000000.0,43110000000.0,28.57,2.77,6.69,24.26,6450000000.0,3410000000.0,1790000000.0,1200000000.0,3.94,1.70,8.10,1160000000.0,3.86,2900000000.0,2.19,17.16,1500000000.0,1130000000.0,1.06,0.24,91.29,4470000.0,1.66,1.49,4890000.0,N/A
1,N/A,N/A,aapl,N/A,N/A,N/A,N/A,N/A,170.71,29.68,7.91,40.60,26.58,30.90,19.88,145.57,22.84,29.68,29.68,29.94,3.48,7.88,22.76,378320000000.0,152840000000.0,128220000000.0,100550000000.0,6.01,20.40,11.20,63910000000.0,3.92,122800000000.0,1.04,4.40,112240000000.0,80150000000.0,1.19,0.07,59.40,111290000.0,1.21,0.68,108940000.0,N/A
2,N/A,N/A,abc,N/A,N/A,N/A,N/A,N/A,329.00,20.11,0.15,134.24,0.73,1.25,3.35,606.71,068.70,32420000000.0,35940000000.0,14.39,1.73,0.16,11.65,221100000000.0,6770000000.0,3350000000.0,1610000000.0,7.71,19.80,13.50,3170000000.0,15.15,7990000000.0,0.95,1.15,2630000000.0,1950000000.0,0.46,28.39,66.01,2130000.0,1.75,1.42,1940000.0,N/A
3,N/A,N/A,abt,N/A,N/A,N/A,N/A,N/A,53.44,30.51,4.99,5.92,16.42,21.40,7.80,20.49,24.27,211950000000.0,220710000000.0,24.88,2.26,5.12,17.97,43070000000.0,25010000000.0,12760000000.0,7040000000.0,3.94,8.00,7.20,10250000000.0,5.81,19250000000.0,1.85,20.30,10530000000.0,7680000000.0,0.75,0.74,75.41,13330000.0,2.14,0.77,10370000.0,N/A
4,N/A,N/A,acn,N/A,N/A,N/A,N/A,N/A,16.79,34.31,3.87,10.50,11.27,15.12,12.71,32.42,89.46,215790000000.0,213870000000.0,31.55,2.54,3.77,20.32,56690000000.0,16360000000.0,9510000000.0,6390000000.0,9.92,13.50,24.50,5470000000.0,8.64,3550000000.0,1.24,32.46,7520000000.0,5440000000.0,1.23,0.12,74.09,4380000.0,1.63,0.69,3650000.0,N/A
5,N/A,N/A,adbe,N/A,N/A,N/A,N/A,N/A,33.87,46.31,13.84,15.99,29.90,36.72,14.54,35.33,33.93,220270000000.0,220240000000.0,34.01,2.02,13.64,32.72,16140000000.0,13920000000.0,6520000000.0,4830000000.0,10.07,0.40,9.10,4700000000.0,9.94,4660000000.0,1.04,29.12,7230000000.0,5740000000.0,1.05,0.33,85.01,7530000.0,2.03,1.60,6420000.0,N/A
6,N/A,N/A,adi,N/A,N/A,N/A,N/A,N/A,16.71,57.69,8.88,2.38,15.18,23.74,3.45,5.18,19.35,89060000000.0,93520000000.0,20.58,1.90,11.08,32.78,8439999999.999999,4530000000.0,3450000000.0,1280000000.0,2.91,27.90,72.20,1790000000.0,3.42,6250000000.0,2.09,71.52,3160000000.0,2340000000.0,1.10,0.37,88.39,7150000.0,1.79,1.37,6870000.0,N/A
7,N/A,N/A,adm,N/A,N/A,N/A,N/A,N/A,46.47,18.34,0.58,2.20,3.18,3.45,3.47,12.76,151.15,49410000000.0,59050000000.0,16.58,24.74,0.69,12.91,85250000000.0,5990000000.0,3930000000.0,2710000000.0,4.79,13.80,28.40,989000000.0,1.76,10580000000.0,1.45,40.14,6590000000.0,1580000000.0,0.78,0.52,80.19,6220000.0,1.62,1.24,4920000.0,N/A
8,N/A,N/A,adp,N/A,N/A,N/A,N/A,N/A,68.33,34.82,6.25,18.71,17.48,22.84,4.13,50.12,37.14,94490000000.0,96090000000.0,30.21,2.78,6.29,23.15,15700000000.0,6770000000.0,4090000000.0,2740000000.0,6.46,7.20,8.90,1760000000.0,4.2,3450000000.0,1.04,12.01,3120000000.0,3920000000.0,0.83,0.09,80.53,4530000.0,2.36,1.08,5250000.0,N/A
9,N/A,N/A,adsk,N/A,N/A,N/A,N/A,N/A,360.38,99.55,11.29,57.07,11.33,16.93,5.84,54.78,19.97,48460000000.0,49760000000.0,33.00,1.95,11.34,63.97,4390000000.0,4019999999.9999995,826100000.0,497000000.0,2.24,90.20,16.60,1760000000.0,8.12,3060000000.0,0.69,3.89,1530000000.0,1300000000.0,1.46,0.21,92.93,3210000.0,1.48,1.48,4290000.0,N/A
