,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,2004-12-13 21:37:34,1102991854.0,a,23.84,-34.95225102319236,1198.680054,5.971908507545951,-40.92415953073831,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,0,0,15.79,1.62,1.44,15.3,1.44,0,15.3,0,0.71,0,0.80,0,4.75,0,2.441,7.32,0,2.547,20.00,66.68,0,2.638,1.78,0,underperform
1,2005-01-22 05:17:19,1106389039.0,a,21.8,-40.518417462482944,1184.630005,4.729783469938099,-45.24820093242104,0.322,30.70,1.52,3.04,4.86,5.38,5.26,10.92,14.61,0,0,14.34,1.51,1.36,14.4,1.36,0,14.4,0,0.71,0,18.60,0,4.71,0,2.446,7.329,0,2.166,10.12,67.08,0,2.385,1.60,0,underperform
2,2006-06-21 11:01:16,1150902076.0,a,32.18,-12.19645293315143,1252.199951,10.703451014899041,-22.899903948050472,0.368,5.08,2.53,3.37,56.50,9.38,12.15,28.88,11.414,0,0,0,1.26,2.33,7.549,2.33,0,7.549,0,6.33,21.10,12.00,0,6.24,0,2.565,9.563,0,2.75,5.99,74.80,0,3.4,1.60,0,underperform
3,2006-08-19 10:42:01,1155998521.0,a,31.8,-13.23328785811732,1295.430054,14.525301978882608,-27.758589836999928,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,0,0,0,1.21,2.18,17.215,2.18,0,17.215,0,6.87,118.30,13.90,0,5.499,0,2.513,9.563,0,2.76,6.24,72.70,0,2.5,1.80,0,underperform
4,2007-02-20 17:46:56,1172011616.0,a,32.48,-11.377899045020468,1459.680054,29.046179267430887,-40.42407831245136,0.411,4.33,2.68,3.67,66.50,11.12,13.70,37.19,11.538,0,0,0,1.13,2.53,7.322,2.53,0,7.322,0,7.499,496.00,21.00,0,5.556,0,2.573,8.941,0,2.75,8.76,67.60,0,2.8,1.50,0,underperform
5,2007-04-12 05:07:51,1176368871.0,a,34.62,-5.538881309686224,1447.800049,27.995901673565804,-33.53478298325203,0.411,4.62,2.77,3.87,66.50,11.12,13.70,37.19,11.538,0,0,0,1.13,2.51,7.275,2.51,0,7.275,0,7.50,496.00,21.00,0,5.556,0,2.573,9.03,0,2.75,6.26,72.00,0,2.8,1.50,0,underperform
6,2008-01-23 19:28:50,1201134530.0,a,32.16,-12.251023192360169,1338.599976,18.3418325111091,-30.59285570346927,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,0,0,0,1.04,2.30,15.421,2.30,0,15.421,0,1.57,20.80,8.90,0,4.916,0,2.207,8.741,0,1.55,1.49,73.80,0,1.9,1.00,0,underperform
7,2008-02-14 04:44:34,1202982274.0,a,32.68,-10.832196452933148,1348.859985,19.248890846989784,-30.081087299922935,0.645,20.80,2.18,3.64,11.77,11.38,5.17,18.54,13.756,0,0,0,1.02,2.23,14.966,2.23,0,14.966,0,1.57,20.80,8.90,0,4.916,0,2.207,8.741,0,1.45,1.49,72.50,0,1.7,1.30,0,underperform
8,2008-04-26 04:49:23,1209199763.0,a,31.53,-13.969986357435191,1379.930054,21.995707646354933,-35.96569400379013,0.67,20.59,2.07,3.65,10.99,11.30,5.33,17.80,14.362,0,0,0,1.00,2.18,14.748,2.18,0,14.748,0,1.53,20.00,8.80,0,4.265,0,1.896,8.622,0,1.46,4.68,68.30,0,2.1,1.50,0,underperform
9,2008-12-06 19:21:33,1228609293.0,a,17.26,-52.905866302864936,870.73999,-23.020343713718386,-29.88552258914655,0.83,9.24,1.06,2.40,12.00,13.77,6.63,23.93,15.906,0,0,0,0.64,1.17,6.764,1.17,0,6.764,0,1.87,28.30,2.40,0,4.083,0,2.421,7.311,0,1.33,1.59,75.90,0,1.6,1.20,0,underperform
10,2011-08-02 06:45:37,1312281937.0,a,40.79,11.296043656207368,1254.050049,10.867012938976892,0.4290307172304768,54.36,16.18,2.38,3.71,14.46,14.80,6.94,27.00,17.77,0,0,12.44,0.63,2.25,11.89,2.25,0,11.89,0,2.52,85.20,31.90,0,8.55,0,3.20,11.36,0,1.55,0.25,82.10,0,1.20,1.40,0,outperform
11,2013-05-14 00:28:58,1368505738.0,a,43.04,17.435197817189636,1650.339966,45.90188207411225,-28.466684256922616,44.12,13.75,2.19,2.83,15.96,15.69,6.85,22.38,19.85,0,0,13.08,2.07,2.18,10.75,2.18,0,10.75,0,3.13,22.20,2.80,0,7.06,0,2.55,15.41,0,1.66,0.23,83.20,0,1.20,1.30,0,underperform
12,2013-09-06 06:09:52,1378462192.0,a,47.68,30.095497953615286,1655.170044,46.32889558968069,-16.233397636065405,56.39,17.74,2.32,3.31,13.73,14.04,5.98,19.41,19.80,0,0,15.09,2.16,2.32,11.93,2.32,0,11.93,0,2.69,30.90,4.10,0,7.04,0,2.96,14.46,0,1.81,0.23,83.50,0,1.20,0.80,0,underperform
13,2004-04-13 04:20:10,1081844410.0,aa,34.26,0.0,1129.439941,0.0,0.0,0.595,24.92,1.33,2.41,6.40,8.44,4.52,10.66,25.638,0,0,12.98,1.26,1.65,10.8,1.65,0,10.8,0,1.375,53.70,11.40,0,0.53,0,1.374,14.078,0,1.808,1.00,79.36,0,2.497,1.46,0,underperform
14,2004-09-09 16:15:45,1094760945.0,aa,32.89,-3.9988324576765835,1118.380005,-0.9792407368033841,-3.0195917208731995,0.561,20.88,1.26,2.34,7.04,9.46,5.08,11.87,25.984,0,0,12.75,1.43,1.56,9.7,1.56,0,9.7,0,1.575,53.70,11.40,0,0.54,0,1.372,14.049,0,1.676,1.00,76.64,0,1.935,0.90,0,underperform
15,2004-11-24 10:37:20,1101310640.0,aa,33.58,-1.9848219497956794,1181.76001,4.6323905416056,-6.61721249140128,0.53,21.15,1.26,2.34,7.01,9.57,5.13,11.58,26.536,0,0,13.49,1.47,1.52,9.53,1.52,0,9.53,0,1.588,53.70,11.40,0,0.64,0,1.293,14.36,0,1.736,1.04,77.19,0,2.209,1.15,0,underperform
16,2004-12-05 00:36:42,1102225002.0,aa,32.86,-4.086398131932278,1190.329956,5.391168913867899,-9.477567045800178,0.53,20.69,1.25,2.33,7.01,9.57,5.13,11.58,26.536,0,0,13.20,1.50,1.49,9.36,1.49,0,9.36,0,1.588,53.70,11.40,0,0.64,0,1.293,14.36,0,1.736,1.04,77.11,0,2.209,1.15,0,underperform
17,2005-01-13 07:18:32,1105618712.0,aa,29.43,-14.098073555166371,1177.449951,4.250780254635953,-18.348853809802325,0.457,18.43,1.10,1.95,7.02,9.39,5.12,11.17,26.757,0,0,11.96,1.12,1.34,8.57,1.34,0,8.57,0,1.597,53.70,11.40,0,0.52,0,1.322,15.207,0,1.611,1.04,77.16,0,2.918,1.49,0,underperform
18,2005-02-07 03:48:37,1107766117.0,aa,29.37,-14.27320490367775,1201.719971,6.399634666364247,-20.672839570041997,0.457,18.39,1.08,1.92,7.02,9.39,5.12,11.17,26.757,0,0,11.89,1.39,1.33,8.5,1.33,0,8.5,0,1.60,53.70,11.40,0,0.52,0,1.322,15.207,0,1.611,1.04,75.67,0,1.892,1.37,0,underperform
19,2006-06-20 04:32:21,1150792341.0,aa,29.1,-15.061295971978975,1240.119995,9.799551971041895,-24.86084794302087,0.526,16.15,0.96,1.89,5.82,9.51,4.73,11.56,31.183,0,0,0,0.80,1.19,8.36,1.19,0,8.36,0,1.80,133.80,16.40,0,0.528,0,1.183,15.945,0,2.3,0.26,78.70,0,1.80,1.80,0,underperform
20,2007-01-25 19:09:37,1169770177.0,aa,31.46,-8.172796263864557,1423.900024,26.07133609417837,-34.244132358042926,0.494,12.25,0.91,1.89,7.40,13.71,7.34,15.43,34.966,0,0,0,0.96,1.13,6.313,1.13,0,6.313,0,2.57,60.30,17.60,0,0.583,0,1.045,16.798,0,1.5,0.26,80.40,0,2.7,2.10,0,underperform
21,2007-02-23 09:03:42,1172239422.0,aa,34.75,1.4302393461763048,1451.189941,28.48757054891509,-27.057331202738787,0.494,13.54,0.99,2.07,7.40,13.60,7.54,15.43,34.959,0,0,0,1.05,1.22,6.662,1.22,0,6.662,0,2.57,60.30,20.00,0,0.582,0,1.258,16.798,0,1.62,0.06,80.30,0,2.4,1.70,0,underperform
22,2007-05-16 21:12:47,1179364367.0,aa,39.04,13.952130764740225,1514.140015,34.06113596969029,-20.109005204950066,0.494,15.21,1.10,2.22,7.40,13.60,7.54,15.43,34.959,0,0,0,1.12,1.21,6.637,1.21,0,6.637,0,2.57,60.30,20.00,0,0.582,0,1.258,17.684,0,1.36,0.06,80.30,0,1.2,1.60,0,underperform
23,2007-06-22 06:39:12,1182508752.0,aa,40.34,17.746643315820215,1502.560059,33.03585294403891,-15.289209628218693,0.503,15.34,1.12,2.28,7.38,13.66,7.55,15.13,35.896,0,0,0,1.28,1.36,7.472,1.36,0,7.472,0,2.63,8.90,11.20,0,0.483,0,1.338,17.684,0,1.41,0.06,80.90,0,1.2,1.90,0,underperform
24,2007-10-11 20:57:59,1192150679.0,aa,38.08,11.150029188558088,1554.410034,37.626621617766915,-26.47659242920883,0.47,14.70,1.09,2.04,7.23,13.33,6.91,14.00,36.164,0,0,0,0.98,1.31,7.512,1.31,0,7.512,0,2.59,3.90,3.50,0,1.321,0,1.353,18.978001,0,1.48,0.09,78.10,0,1.4,2.20,0,underperform
25,2008-01-23 16:05:53,1201122353.0,aa,28.04,-18.155283129013426,1338.599976,18.518916093476445,-36.674199222489875,0.499,9.51,0.77,1.49,8.34,11.42,5.78,16.78,35.721,0,0,0,0.95,1.02,6.567,1.02,0,6.567,0,2.95,76.00,5.80,0,0.584,0,1.128,19.291,0,1.69,0.22,78.40,0,1.6,1.60,0,underperform
26,2008-10-28 00:52:22,1225169542.0,aa,9.04,-73.61354349095154,940.51001,-16.727753653967874,-56.88578983698367,0.672,4.28,0.25,0.50,5.91,9.27,4.39,11.25,36.161,0,0,0,0.42,0.57,4.207,0.57,0,4.207,0,2.11,51.70,2.10,0,1.038,0,1.316,18.754999,0,1.71,0.25,82.80,0,2.10,2.10,0,underperform
27,2008-12-05 01:03:15,1228456995.0,aa,8.06,-76.47402218330413,876.070007,-22.433236580571755,-54.04078560273237,0.672,3.81,0.25,0.50,5.91,9.12,4.32,11.25,36.138,0,0,0,0.35,0.57,4.231,0.57,0,4.231,0,2.11,51.70,2.10,0,1.038,0,1.316,18.754999,0,2.1,0.25,80.20,0,5.90,5.90,0,underperform
28,2008-12-06 09:33:46,1228574026.0,aa,8.15,-76.21132516053707,870.73999,-22.905153395845776,-53.3061717646913,0.672,3.86,0.22,0.43,5.91,9.12,4.32,11.25,36.138,0,0,0,0.31,0.54,4.001,0.54,0,4.001,0,2.11,51.70,2.10,0,1.038,0,1.316,18.754999,0,2.1,0.25,80.20,0,5.90,5.90,0,underperform
