,Date,Unix,Ticker,Price,stock_p_change,SP500,sp500_p_change,Difference,DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta,Held by Insiders,Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior ,Status
0,1/30/2004 19:01,1075507262,a,25.15,-40.32,1131.130005,3.8,-44.12,0.407,N/A,2.8,6.01,29.56,11.97,24.95,47.81,12.803,0,0,25.83,3.84,2.73,N/A,2.73,0,N/A,0,3.774,0,0.8,0,3.37,0,2.04,5.93,0,2.474,10.01,63.03,0,3.923,2.17,0,underperform
1,4/13/2004 4:07,1081843631,a,21.16,-29.06,1129.439941,3.93,-32.99,0.375,N/A,2.43,4.98,25.56,6.2,23.59,46.82,13.16,0,0,20.83,2.89,2.35,N/A,2.35,0,N/A,0,3.391,0,0.8,0,3.49,0,2.284,6.394,0,2.496,10,66.79,0,2.328,1.74,0,underperform
2,12/13/2004 21:37,1102991854,a,16.26,-7.69,1198.680054,5.74,-13.43,0.323,33.58,1.61,3.24,4.86,5.38,5.26,10.92,14.61,0,0,15.79,1.62,1.44,15.3,1.44,0,15.3,0,0.71,0,0.8,0,4.75,0,2.441,7.32,0,2.547,20,66.68,0,2.638,1.78,0,underperform
3,1/22/2005 5:17,1106389039,a,15.05,58.67,1184.630005,8.48,50.19,0.322,30.7,1.52,3.04,4.86,5.38,5.26,10.92,14.61,0,0,14.34,1.51,1.36,14.4,1.36,0,14.4,0,0.71,0,18.6,0,4.71,0,2.446,7.329,0,2.166,10.12,67.08,0,2.385,1.6,0,outperform
4,1/9/2006 2:35,1136792116,a,23.57,1.32,1290.150024,9.45,-8.13,2.169,52.82,3.31,4.26,6.38,3.58,1.68,3.69,10.403,0,0,0,1.81,2.89,35.665,2.89,0,35.665,0,0.66,64.9,22.8,0,4.555,2.169,2.169,8.095,0,N/A,0.57,70.4,0,2.3,2.2,0,underperform
5,6/21/2006 11:01,1150902076,a,22.28,19.12,1252.199951,21.56,-2.44,0.368,5.08,2.53,3.37,56.5,9.38,12.15,28.88,11.414,0,0,0,1.26,2.33,7.549,2.33,0,7.549,0,6.33,21.1,12,0,6.24,0,2.565,9.563,0,2.75,5.99,74.8,0,3.4,1.6,0,underperform
6,8/19/2006 10:42,1155998521,a,21.84,2.38,1295.430054,8.94,-6.56,0.396,4.63,2.54,3.38,56.57,8.99,4.54,34.26,12.408,0,0,0,1.21,2.18,17.215,2.18,0,17.215,0,6.87,118.3,13.9,0,5.499,0,2.513,9.563,0,2.76,6.24,72.7,0,2.5,1.8,0,underperform
7,2/20/2007 17:46,1172011616,a,22.17,0.86,1459.680054,-6.83,7.69,0.411,4.33,2.68,3.67,66.5,11.12,13.7,37.19,11.538,0,0,0,1.13,2.53,7.322,2.53,0,7.322,0,7.499,496,21,0,5.556,0,2.573,8.941,0,2.75,8.76,67.6,0,2.8,1.5,0,outperform
8,4/12/2007 5:07,1176368871,a,23.79,-9.63,1447.800049,-7.94,-1.69,0.411,4.62,2.77,3.87,66.5,11.12,13.7,37.19,11.538,0,0,0,1.13,2.51,7.275,2.51,0,7.275,0,7.5,496,21,0,5.556,0,2.573,9.03,0,2.75,6.26,72,0,2.8,1.5,0,underperform
9,1/23/2008 19:28,1201134530,a,22.81,-5.74,1338.599976,-38.18,32.44,0.645,20.47,2.25,3.76,11.77,11.38,5.17,18.54,13.756,0,0,0,1.04,2.3,15.421,2.3,0,15.421,0,1.57,20.8,8.9,0,4.916,0,2.207,8.741,0,1.55,1.49,73.8,0,1.9,1,0,outperform
