,Date,Ticker,Price,stock_p_change,Status
0,12/12/2013,A,38.38,0.36,0
1,12/31/2013,A,39.81,-0.25,0
2,10/22/2014,A,37.19,-4.89,0
3,11/25/2014,A,41.42,-2.2,0
4,12/12/2014,A,38.52,5.17,1
5,12/31/2014,A,39.71,3.45,0
6,10/22/2015,A,35.37,27.59,1
7,11/25/2015,A,40.51,9.95,1
8,12/14/2015,A,39.44,16.48,1
9,12/31/2015,A,41.08,10.15,1
10,10/21/2016,A,45.13,47.22,1
11,11/25/2016,A,44.46,54.5,1
12,12/13/2016,A,45.94,45.15,1
13,12/30/2016,A,45.25,48.73,1
14,10/23/2017,A,67.02,0.42,0
15,11/28/2017,A,70.59,-4.66,0
16,12/14/2017,A,66.51,1.19,0
17,12/12/2013,AA,,,0
18,12/31/2013,AA,,,0
19,10/22/2014,AA,,,0
20,11/25/2014,AA,,,0
21,12/12/2014,AA,,,0
22,12/31/2014,AA,,,0
23,10/22/2015,AA,,,0
24,11/25/2015,AA,,,0
25,12/14/2015,AA,,,0
26,12/31/2015,AA,,,0
27,10/21/2016,AA,,,0
28,11/25/2016,AA,31.7,34.51,1
29,12/13/2016,AA,30.24,38.43,1
30,12/30/2016,AA,28.08,84.62,1
31,10/23/2017,AA,47.93,8.16,1
32,11/28/2017,AA,43.3,19.72,1
33,12/14/2017,AA,42.35,22.41,1
34,12/12/2013,AAPL,74.51,39.9,1
35,12/31/2013,AAPL,74.57,40.62,1
36,10/22/2014,AAPL,97.42,14.05,1
37,11/25/2014,AAPL,111.72,2.07,0
38,12/12/2014,AAPL,104.24,9.39,1
39,12/31/2014,AAPL,104.86,-3.01,0
40,10/22/2015,AAPL,111.11,3.11,0
41,11/25/2015,AAPL,114.03,-3.23,0
42,12/14/2015,AAPL,108.67,4.69,0
43,12/31/2015,AAPL,101.7,12.48,1
44,10/21/2016,AAPL,114.57,39.44,1
45,11/25/2016,AAPL,110.41,58.46,1
46,12/13/2016,AAPL,113.77,51.42,1
47,12/30/2016,AAPL,114.39,49.14,1
48,10/23/2017,AAPL,156.17,9.24,1
49,11/28/2017,AAPL,173.07,-1.43,0
50,12/14/2017,AAPL,172.22,-0.94,0
51,12/12/2013,ABBV,45.55,28.67,1
52,12/31/2013,ABBV,45.92,27.96,1
53,10/22/2014,ABBV,51.09,-12.33,0
54,11/25/2014,ABBV,61.12,-8.48,0
55,12/12/2014,ABBV,58.61,-4.56,0
56,12/31/2014,ABBV,58.76,-6.45,0
57,10/22/2015,ABBV,44.79,31.3,1
58,11/25/2015,ABBV,55.94,4.17,0
59,12/14/2015,ABBV,51.44,16.23,1
60,12/31/2015,ABBV,54.97,9.88,1
61,10/21/2016,ABBV,58.81,63.31,1
62,11/25/2016,ABBV,58.36,61.87,1
63,12/13/2016,ABBV,59.79,62.82,1
64,12/30/2016,ABBV,60.4,62.4,1
65,10/23/2017,ABBV,94.51,3.79,0
66,11/28/2017,ABBV,95.42,2.8,0
67,12/14/2017,ABBV,96.3,1.86,0
68,12/12/2013,ABC,64.81,34.05,1
69,12/31/2013,ABC,66.26,29.94,1
70,10/22/2014,ABC,72.94,22.5,1
71,11/25/2014,ABC,86.25,10.83,1
72,12/12/2014,ABC,86.88,10.03,1
73,12/31/2014,ABC,86.1,16.38,1
74,10/22/2015,ABC,89.35,-12.4,0
75,11/25/2015,ABC,95.59,-19.36,0
76,12/14/2015,ABC,99.06,-21.6,0
77,12/31/2015,ABC,100.2,-23.32,0
78,10/21/2016,ABC,78.27,2.34,0
79,11/25/2016,ABC,77.2,5.44,1
80,12/13/2016,ABC,77.66,13.93,1
81,12/30/2016,ABC,76.83,20.53,1
82,10/23/2017,ABC,82.13,12.75,1
83,11/28/2017,ABC,83.15,11.37,1
84,12/14/2017,ABC,89.31,3.68,0
85,12/12/2013,ABT,33.13,23.09,1
86,12/31/2013,ABT,35.0,20.06,1
87,10/22/2014,ABT,38.82,6.83,1
88,11/25/2014,ABT,41.22,5.02,1
89,12/12/2014,ABT,40.78,6.15,1
90,12/31/2014,ABT,42.02,1.9,0
91,10/22/2015,ABT,41.47,-4.53,0
92,11/25/2015,ABT,43.29,-10.23,0
93,12/14/2015,ABT,42.72,-9.76,0
94,12/31/2015,ABT,42.82,-12.33,0
95,10/21/2016,ABT,39.59,40.87,1
96,11/25/2016,ABT,38.28,45.77,1
97,12/13/2016,ABT,38.55,42.83,1
98,12/30/2016,ABT,37.54,53.09,1
99,10/23/2017,ABT,56.08,2.48,0
100,11/28/2017,ABT,56.02,2.59,0
101,12/14/2017,ABT,54.73,5.01,1
102,12/12/2013,ACE,94.18,16.73,1
103,12/31/2013,ACE,97.93,14.47,1
104,10/22/2014,ACE,102.68,11.48,1
105,11/25/2014,ACE,110.16,3.86,0
106,12/12/2014,ACE,109.94,4.07,0
107,12/31/2014,ACE,112.1,4.24,0
108,10/22/2015,ACE,114.47,,0
109,11/25/2015,ACE,114.41,,0
110,12/14/2015,ACE,113.46,,0
111,12/31/2015,ACE,116.85,,0
112,10/21/2016,ACE,,,0
113,11/25/2016,ACE,,,0
114,12/13/2016,ACE,,,0
115,12/30/2016,ACE,,,0
116,10/23/2017,ACE,,,0
117,11/28/2017,ACE,,,0
118,12/14/2017,ACE,,,0
119,12/12/2013,ACI,41.4,-61.11,0
120,12/31/2013,ACI,44.39,-59.9,0
121,10/22/2014,ACI,17.6,-84.38,0
122,11/25/2014,ACI,23.2,-95.3,0
123,12/12/2014,ACI,16.1,-93.23,0
124,12/31/2014,ACI,17.8,-94.44,0
125,10/22/2015,ACI,2.75,,0
126,11/25/2015,ACI,1.09,,0
127,12/14/2015,ACI,0.89,,0
128,12/31/2015,ACI,0.99,,0
129,10/21/2016,ACI,,,0
130,11/25/2016,ACI,,,0
131,12/13/2016,ACI,,,0
132,12/30/2016,ACI,,,0
133,10/23/2017,ACI,,,0
134,11/28/2017,ACI,,,0
135,12/14/2017,ACI,,,0
136,12/12/2013,ACN,67.95,13.38,1
137,12/31/2013,ACN,75.42,11.39,1
138,10/22/2014,ACN,72.86,40.41,1
139,11/25/2014,ACN,80.26,28.23,1
140,12/12/2014,ACN,77.04,33.59,1
141,12/31/2014,ACN,84.01,19.53,1
142,10/22/2015,ACN,102.3,10.75,1
143,11/25/2015,ACN,102.92,13.98,1
144,12/14/2015,ACN,102.21,20.26,1
145,12/31/2015,ACN,100.42,14.33,1
146,10/21/2016,ACN,113.3,21.29,1
147,11/25/2016,ACN,118.35,24.3,1
148,12/13/2016,ACN,122.92,23.19,1
149,12/30/2016,ACN,114.81,33.54,1
150,10/23/2017,ACN,139.33,10.04,1
151,11/28/2017,ACN,148.04,3.57,0
152,12/14/2017,ACN,151.21,1.4,0
153,12/12/2013,ADBE,53.99,40.8,1
154,12/31/2013,ADBE,59.88,21.41,1
155,10/22/2014,ADBE,65.04,36.01,1
156,11/25/2014,ADBE,72.0,27.46,1
157,12/12/2014,ADBE,76.02,20.72,1
158,12/31/2014,ADBE,72.7,29.22,1
159,10/22/2015,ADBE,88.46,23.25,1
160,11/25/2015,ADBE,91.77,15.12,1
161,12/14/2015,ADBE,93.26,13.82,1
162,12/31/2015,ADBE,93.94,9.59,1
163,10/21/2016,ADBE,109.03,40.33,1
164,11/25/2016,ADBE,105.02,74.16,1
165,12/13/2016,ADBE,106.15,66.59,1
166,12/30/2016,ADBE,102.95,70.34,1
167,10/23/2017,ADBE,172.16,1.86,0
168,11/28/2017,ADBE,185.4,-5.42,0
169,12/14/2017,ADBE,175.0,0.21,0
170,12/12/2013,ADI,43.58,19.55,1
171,12/31/2013,ADI,46.14,12.12,1
172,10/22/2014,ADI,42.6,41.48,1
173,11/25/2014,ADI,47.87,19.64,1
174,12/12/2014,ADI,52.1,9.92,1
175,12/31/2014,ADI,51.73,2.32,0
176,10/22/2015,ADI,60.27,2.09,0
177,11/25/2015,ADI,57.27,19.24,1
178,12/14/2015,ADI,54.37,32.24,1
179,12/31/2015,ADI,52.93,34.95,1
180,10/21/2016,ADI,61.53,44.64,1
181,11/25/2016,ADI,72.57,22.16,1
182,12/13/2016,ADI,71.9,18.47,1
183,12/30/2016,ADI,71.43,24.74,1
184,10/23/2017,ADI,88.77,0.37,0
185,11/28/2017,ADI,87.07,2.33,0
186,12/14/2017,ADI,85.44,4.28,0
187,12/12/2013,ADM,36.48,25.38,1
188,12/31/2013,ADM,39.0,22.33,1
189,10/22/2014,ADM,41.79,4.28,0
190,11/25/2014,ADM,48.56,-29.39,0
191,12/12/2014,ADM,45.74,-25.03,0
192,12/31/2014,ADM,47.71,-27.73,0
193,10/22/2015,ADM,43.58,-6.47,0
194,11/25/2015,ADM,34.29,23.45,1
195,12/14/2015,ADM,32.13,40.06,1
196,12/31/2015,ADM,34.48,28.39,1
197,10/21/2016,ADM,40.76,5.4,1
198,11/25/2016,ADM,42.24,-7.1,0
199,12/13/2016,ADM,45.0,-11.0,0
200,12/30/2016,ADM,44.27,-9.1,0
201,10/23/2017,ADM,43.22,-6.89,0
202,11/28/2017,ADM,39.09,2.94,0
203,12/14/2017,ADM,39.57,1.69,0
204,12/12/2013,ADP,62.1,24.57,1
205,12/31/2013,ADP,65.04,20.2,1
206,10/22/2014,ADP,69.56,23.09,1
207,11/25/2014,ADP,78.8,4.68,0
208,12/12/2014,ADP,77.36,6.63,1
209,12/31/2014,ADP,78.18,4.09,0
210,10/22/2015,ADP,85.62,-0.93,0
211,11/25/2015,ADP,82.49,13.35,1
212,12/14/2015,ADP,81.26,19.14,1
213,12/31/2015,ADP,81.38,24.26,1
214,10/21/2016,ADP,84.82,34.32,1
215,11/25/2016,ADP,94.8,16.26,1
216,12/13/2016,ADP,96.81,20.88,1
217,12/30/2016,ADP,101.12,15.96,1
218,10/23/2017,ADP,117.01,0.21,0
219,11/28/2017,ADP,111.22,5.43,1
220,12/14/2017,ADP,116.46,0.69,0
221,12/12/2013,ADSK,45.51,29.38,1
222,12/31/2013,ADSK,50.32,19.36,1
223,10/22/2014,ADSK,52.25,0.65,0
224,11/25/2014,ADSK,61.03,3.1,0
225,12/12/2014,ADSK,58.88,6.86,1
226,12/31/2014,ADSK,60.06,1.45,0
227,10/22/2015,ADSK,52.59,35.35,1
228,11/25/2015,ADSK,62.92,20.03,1
229,12/14/2015,ADSK,60.74,31.17,1
230,12/31/2015,ADSK,60.93,21.47,1
231,10/21/2016,ADSK,71.18,66.54,1
232,11/25/2016,ADSK,75.83,68.5,1
233,12/13/2016,ADSK,79.67,33.07,1
234,12/30/2016,ADSK,74.01,41.31,1
235,10/23/2017,ADSK,118.99,-12.11,0
236,11/28/2017,ADSK,129.95,-19.52,0
237,12/14/2017,ADSK,106.25,-1.57,0
238,12/12/2013,ADT,37.12,-20.37,0
239,12/31/2013,ADT,38.28,-8.31,0
240,10/22/2014,ADT,32.48,1.97,0
241,11/25/2014,ADT,35.15,-2.3,0
242,12/12/2014,ADT,29.56,16.17,1
243,12/31/2014,ADT,35.1,-6.75,0
244,10/22/2015,ADT,33.12,,0
245,11/25/2015,ADT,34.34,,0
246,12/14/2015,ADT,32.95,,0
247,12/31/2015,ADT,32.73,,0
248,10/21/2016,ADT,,,0
249,11/25/2016,ADT,,,0
250,12/13/2016,ADT,,,0
251,12/30/2016,ADT,,,0
252,10/23/2017,ADT,,,0
253,11/28/2017,ADT,,,0
254,12/14/2017,ADT,,,0
255,12/12/2013,AEE,30.3,27.13,1
256,12/31/2013,AEE,31.19,32.73,1
257,10/22/2014,AEE,36.19,13.84,1
258,11/25/2014,AEE,37.69,6.02,1
259,12/12/2014,AEE,38.52,3.74,0
260,12/31/2014,AEE,41.4,-2.37,0
261,10/22/2015,AEE,41.2,13.91,1
262,11/25/2015,AEE,39.96,18.34,1
263,12/14/2015,AEE,39.09,29.75,1
264,12/31/2015,AEE,40.42,26.79,1
265,10/21/2016,AEE,46.93,30.0,1
266,11/25/2016,AEE,48.4,30.0,1
267,12/13/2016,AEE,50.72,20.76,1
268,12/30/2016,AEE,51.25,14.54,1
269,10/23/2017,AEE,61.72,-4.89,0
270,11/28/2017,AEE,63.85,-8.07,0
271,12/14/2017,AEE,60.83,-3.5,0
272,12/12/2013,AEO,12.33,-2.92,0
273,12/31/2013,AEO,12.67,0.24,0
274,10/22/2014,AEO,12.21,18.18,1
275,11/25/2014,AEO,12.52,23.0,1
276,12/12/2014,AEO,11.97,28.65,1
277,12/31/2014,AEO,12.7,15.04,1
278,10/22/2015,AEO,14.43,18.02,1
279,11/25/2015,AEO,15.4,12.99,1
280,12/14/2015,AEO,14.64,13.73,1
281,12/31/2015,AEO,14.61,0.89,0
282,10/21/2016,AEO,17.03,-23.84,0
283,11/25/2016,AEO,17.69,-17.24,0
284,12/13/2016,AEO,16.65,5.83,1
285,12/30/2016,AEO,14.74,29.78,1
286,10/23/2017,AEO,13.8,38.62,1
287,11/28/2017,AEO,15.94,20.01,1
288,12/14/2017,AEO,17.23,11.03,1
289,12/12/2013,AEP,39.63,32.98,1
290,12/31/2013,AEP,40.37,35.05,1
291,10/22/2014,AEP,49.76,9.79,1
292,11/25/2014,AEP,50.8,2.13,0
293,12/12/2014,AEP,52.7,-1.56,0
294,12/31/2014,AEP,54.52,-0.29,0
295,10/22/2015,AEP,54.63,9.5,1
296,11/25/2015,AEP,51.88,10.49,1
297,12/14/2015,AEP,50.88,19.1,1
298,12/31/2015,AEP,54.36,11.92,1
299,10/21/2016,AEP,59.82,21.06,1
300,11/25/2016,AEP,57.71,32.72,1
301,12/13/2016,AEP,60.6,26.25,1
302,12/30/2016,AEP,60.84,20.38,1
303,10/23/2017,AEP,73.32,-0.11,0
304,11/28/2017,AEP,77.02,-4.91,0
305,12/14/2017,AEP,76.29,-4.0,0
306,12/12/2013,AES,12.17,-2.71,0
307,12/31/2013,AES,12.75,-3.76,0
308,10/22/2014,AES,12.1,-16.78,0
309,11/25/2014,AES,12.4,-26.69,0
310,12/12/2014,AES,11.84,-23.23,0
311,12/31/2014,AES,12.27,-28.2,0
312,10/22/2015,AES,10.07,13.31,1
313,11/25/2015,AES,9.09,21.67,1
314,12/14/2015,AES,8.13,43.67,1
315,12/31/2015,AES,8.81,26.33,1
316,10/21/2016,AES,11.41,-3.51,0
317,11/25/2016,AES,11.14,-4.13,0
318,12/13/2016,AES,11.68,-8.82,0
319,12/30/2016,AES,11.13,-4.13,0
320,10/23/2017,AES,11.01,-3.09,0
321,11/28/2017,AES,10.57,0.95,0
322,12/14/2017,AES,10.63,0.38,0
323,12/12/2013,AET,62.41,35.65,1
324,12/31/2013,AET,65.72,31.07,1
325,10/22/2014,AET,75.73,33.61,1
326,11/25/2014,AET,83.99,21.16,1
327,12/12/2014,AET,84.66,20.2,1
328,12/31/2014,AET,86.14,22.87,1
329,10/22/2015,AET,101.18,8.61,1
330,11/25/2015,AET,101.76,23.14,1
331,12/14/2015,AET,103.57,22.07,1
332,12/31/2015,AET,105.84,15.73,1
333,10/21/2016,AET,109.89,43.26,1
334,11/25/2016,AET,127.98,37.71,1
335,12/13/2016,AET,126.43,41.67,1
336,12/30/2016,AET,122.49,47.64,1
337,10/23/2017,AET,161.47,12.0,1
338,11/28/2017,AET,178.84,1.12,0
339,12/14/2017,AET,178.49,1.32,0
340,12/12/2013,AFL,59.91,-9.01,0
341,12/31/2013,AFL,60.97,-6.28,0
342,10/22/2014,AFL,53.6,10.6,1
343,11/25/2014,AFL,56.12,11.23,1
344,12/12/2014,AFL,54.51,14.51,1
345,12/31/2014,AFL,57.14,0.51,0
346,10/22/2015,AFL,59.28,14.36,1
347,11/25/2015,AFL,62.42,12.83,1
348,12/14/2015,AFL,57.09,20.49,1
349,12/31/2015,AFL,57.43,19.12,1
350,10/21/2016,AFL,67.79,23.56,1
351,11/25/2016,AFL,70.51,20.62,1
352,12/13/2016,AFL,68.79,28.64,1
